Id;FirstName;LastName;TeamName;TeamCode;TeamUri;Nationality;CountryCode;DateOfBirth;Status;PhotoUri;GeneralClassification;SprintClassification;MountainClassification;GeneralClassificationRank;YouthClassificationRank;SprintClassificationRank;MountainClassificationRank;CombativityClassificationRank;CombinedClassificationRank;IsWithdrawn;WithdrawalStageId;StageId;WithdrawalReason;YoungClassification
1;Christopher;FROOME;TEAM SKY;SKY;http://fep-api.dimensiondata.com/v2/teams/939;United Kingdom;GBR;1985-05-20T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3692/photo;1, 00:00:00, 83:55:16;7, 133;5, 51;1;0;7;5;0;0;FALSE;0;0;NA;NA
2;Sergio;HENAO MONTOYA;TEAM SKY;SKY;http://fep-api.dimensiondata.com/v2/teams/939;Colombia;COL;1987-12-10T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3693/photo;29, 01:16:32, 85:11:48;122, 3;NA;29;0;122;0;0;0;FALSE;0;0;NA;NA
3;Vasili;KIRYIENKA;TEAM SKY;SKY;http://fep-api.dimensiondata.com/v2/teams/939;Belarus;BLR;1981-06-28T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3694/photo;112, 03:21:15, 87:16:31;81, 15;NA;112;0;81;0;0;0;FALSE;0;0;NA;NA
4;Christian;KNEES;TEAM SKY;SKY;http://fep-api.dimensiondata.com/v2/teams/939;Germany;GER;1981-03-05T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3695/photo;145, 03:55:31, 87:50:47;97, 10;NA;145;0;97;0;0;0;FALSE;0;0;NA;NA
5;Michal;KWIATKOWSKI;TEAM SKY;SKY;http://fep-api.dimensiondata.com/v2/teams/939;Poland;POL;1990-06-02T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3696/photo;57, 02:17:48, 86:13:04;37, 42;28, 10;57;0;37;28;0;0;FALSE;0;0;NA;NA
6;Mikel;LANDA MEANA;TEAM SKY;SKY;http://fep-api.dimensiondata.com/v2/teams/939;Spain;ESP;1989-12-13T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3697/photo;4, 00:02:21, 83:57:37;21, 62;7, 45;4;0;21;7;0;0;FALSE;0;0;NA;NA
7;Mikel;NIEVE ITURRALDE;TEAM SKY;SKY;http://fep-api.dimensiondata.com/v2/teams/939;Spain;ESP;1984-05-26T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3698/photo;14, 00:25:28, 84:20:44;94, 10;19, 16;14;0;94;19;0;0;FALSE;0;0;NA;NA
8;Luke;ROWE;TEAM SKY;SKY;http://fep-api.dimensiondata.com/v2/teams/939;United Kingdom;GBR;1990-10-03T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3699/photo;167, 04:35:52, 88:31:08;126, 2;NA;167;0;126;0;0;0;FALSE;0;0;NA;NA
9;Geraint;THOMAS;TEAM SKY;SKY;http://fep-api.dimensiondata.com/v2/teams/939;United Kingdom;GBR;1986-05-25T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3700/photo;NA;NA;NA;0;0;0;0;0;0;TRUE;202;0;AB;NA
11;Romain;BARDET;AG2R LA MONDIALE;ALM;http://fep-api.dimensiondata.com/v2/teams/962;France;FRA;1990-09-11T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3701/photo;3, 00:02:20, 83:57:36;12, 94;6, 47;3;0;12;6;0;0;FALSE;0;0;NA;NA
12;Jan;BAKELANTS;AG2R LA MONDIALE;ALM;http://fep-api.dimensiondata.com/v2/teams/962;Belgium;BEL;1986-02-14T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3702/photo;22, 00:50:04, 84:45:20;16, 83;27, 10;22;0;16;27;0;0;FALSE;0;0;NA;NA
13;Axel;DOMONT;AG2R LA MONDIALE;ALM;http://fep-api.dimensiondata.com/v2/teams/962;France;FRA;1990-08-07T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3703/photo;68, 02:35:33, 86:30:49;NA;NA;68;0;0;0;0;0;FALSE;0;0;NA;NA
14;Mathias;FRANK;AG2R LA MONDIALE;ALM;http://fep-api.dimensiondata.com/v2/teams/962;Switzerland;SUI;1986-09-12T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3704/photo;30, 01:21:16, 85:16:32;114, 5;NA;30;0;114;0;0;0;FALSE;0;0;NA;NA
15;Ben;GASTAUER;AG2R LA MONDIALE;ALM;http://fep-api.dimensiondata.com/v2/teams/962;Luxembourg;LUX;1987-11-14T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3705/photo;37, 01:38:33, 85:33:49;NA;NA;37;0;0;0;0;0;FALSE;0;0;NA;NA
16;Cyril;GAUTIER;AG2R LA MONDIALE;ALM;http://fep-api.dimensiondata.com/v2/teams/962;France;FRA;1987-09-26T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3706/photo;48, 02:03:24, 85:58:40;100, 8;21, 14;48;0;100;21;0;0;FALSE;0;0;NA;NA
17;Pierre-Roger;LATOUR;AG2R LA MONDIALE;ALM;http://fep-api.dimensiondata.com/v2/teams/962;France;FRA;1993-10-12T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3707/photo;26, 01:12:43, 85:07:59;121, 3;NA;26;6;121;0;0;0;FALSE;0;0;NA;6, 01:06:29, 85:07:59
18;Oliver;NAESEN;AG2R LA MONDIALE;ALM;http://fep-api.dimensiondata.com/v2/teams/962;Belgium;BEL;1990-09-16T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3708/photo;64, 02:28:02, 86:23:18;123, 3;NA;64;0;123;0;0;0;FALSE;0;0;NA;NA
